Product Name,Price,Unit Price,Aldi Category,URL
Essential Health Paw Paw Ointment ea,2.79,$11.16 per 100g,Health & Beauty,https://www.aldi.com.au/en/groceries/health/health-detail/ps/p/essential-health-paw-paw-ointment/
Hedanol Paracetamol Capsule Shaped Tablets 20pk ,69.0,3c per tablet,Health & Beauty,https://www.aldi.com.au/en/groceries/health/health-detail/ps/p/hedanol-paracetamol-capsule-shaped-tablets-20pk/
Essential Health Effervescents 15pk ea,4.49,30c per tablet,Health & Beauty,https://www.aldi.com.au/en/groceries/health/health-detail/ps/p/essential-health-effervescents-15pk-1/
Essential Health Electrolytes 20pk 20pk,5.49,27c per tablet,Health & Beauty,https://www.aldi.com.au/en/groceries/health/health-detail/ps/p/essential-health-electrolytes-20pk/
Hedafen Ibuprofen Liquid Capsules 20pk 20pk,2.39,12c per capsule,Health & Beauty,https://www.aldi.com.au/en/groceries/health/health-detail/ps/p/hedafen-ibuprofen-liquid-capsules-20pk/
Onset Chocolate Protein Bars 51g-57g 51g-57g,2.99,$5.86-$5.25 per 100g,Health & Beauty,https://www.aldi.com.au/en/groceries/health/health-detail/ps/p/onset-chocolate-protein-bars-51g-57g-1/
Dentitex Orbit Toothbrush 2pk 2pk,2.99,$1.50 per unit,Health & Beauty,https://www.aldi.com.au/en/groceries/health/health-detail/ps/p/dentitex-orbit-toothbrush-2pk/
Dentitex Mouthwash 1L 1L,4.19,42c per 100mL,Health & Beauty,https://www.aldi.com.au/en/groceries/health/health-detail/ps/p/dentitex-mouthwash-1l/
Essential Health Protein Bar 30g ea,1.49,$4.97 per 100g,Health & Beauty,https://www.aldi.com.au/en/groceries/health/health-detail/ps/p/essential-health-protein-bar-30g-1/
Dentitex Advanced Whitening Toothpaste 140g,1.79,$1.28 per 100g,Health & Beauty,https://www.aldi.com.au/en/groceries/health/health-detail/ps/p/dentitex-advanced-whitening-toothpaste/
Dentitex Interdental Pro Toothbrush 2pk 2pk,1.99,$1.00 per unit,Health & Beauty,https://www.aldi.com.au/en/groceries/health/health-detail/ps/p/dentitex-interdental-pro-toothbrush-2pk/
Caviar Illumination Day Cream SPF15 50ml ,19.99,$39.98 per 100ml,Special Buys Sat 24 April,https://www.aldi.com.au/en/special-buys/special-buys-sat-24-april/saturday-detail-w16/ps/p/caviar-illumination-day-cream-spf15-50ml/
Caviar Illumination Intensive Anti-Wrinkle Serum 15ml ,14.99,$99.93 per 100ml,Special Buys Sat 24 April,https://www.aldi.com.au/en/special-buys/special-buys-sat-24-april/saturday-detail-w16/ps/p/caviar-illumination-intensive-anti-wrinkle-serum-1/
Dentitex Mouthwash 500ml 500ml,3.49,70c per ml,Health & Beauty,https://www.aldi.com.au/en/groceries/health/health-detail/ps/p/dentitex-mouthwash-500ml/
Caviar Illumination Night Cream 50ml ,19.99,$39.98 per 100ml,Special Buys Sat 24 April,https://www.aldi.com.au/en/special-buys/special-buys-sat-24-april/saturday-detail-w16/ps/p/caviar-illumination-night-cream-50ml/
Hedafen Ibuprofen 24pk 24pk,1.49,6c per tablet,Health & Beauty,https://www.aldi.com.au/en/groceries/health/health-detail/ps/p/hedafen-ibuprofen-24pk/
Caviar Illumination 3 Minute Brightening Mask 50ml ,14.99,$29.98 per 100ml,Special Buys Sat 24 April,https://www.aldi.com.au/en/special-buys/special-buys-sat-24-april/saturday-detail-w16/ps/p/caviar-illumination-3-minute-brightening-mask-50ml-2/
Caviar Illumination Eye Mousse 15ml ,14.99,$99.93 per 100ml,Special Buys Sat 24 April,https://www.aldi.com.au/en/special-buys/special-buys-sat-24-april/saturday-detail-w16/ps/p/caviar-illumination-eye-mousse-15ml-3/
Essential Health Meal Replacement Shakes ea,1.99,$3.62 per 100g,Health & Beauty,https://www.aldi.com.au/en/groceries/health/health-detail/ps/p/essential-health-meal-replacement-shakes/
