Brand_Product_Size,Brand_x,Brand_y,COL Price,WOW Price,COL ppu,WOW ppu
1000hour Eyelashes & Brow Dye Kit Black each,1000 Hour,1000hour,20.0,14.0,$20.00 per 1Ea,$14.00 / 1EA
1000hour Eyelashes & Brow Dye Kit Dark Brown each,1000 Hour,1000hour,20.0,14.0,$20.00 per 1Ea,$14.00 / 1EA
3m Command Medium Hooks Value Pack 6 pack,Command,3m command,13.5,13.5,$13.50 per 1ea,$2.25 / 1EA
Abe's Bagel Bakery Natural Bagels 360g 4 pack,Abe's Bagels,abe's bagel bakery,5.0,5.0,$1.39 per 100G,$1.25 / 1EA
Abe's Bagel Bakery Sesame Seed Bagels 360g 4 pack,Abe's Bagels,abe's bagel bakery,5.0,5.0,$1.39 per 100G,$1.25 / 1EA
Air Wick Botanica Diffuser Caribbean Vetiver & Sandalwood 80mL,Botanica,air wick,8.25,16.5,$10.31 per 100mL,$2.06 / 10ML
Air Wick Botanica French Lavender & Honey Blossom Room Spray 236mL,Botanica,air wick,7.5,7.5,$3.18 per 100mL,$3.18 / 100ML
Air Wick Botanica Island Rose & African Geranium Reed Diffuser 80mL,Botanica,air wick,8.25,16.5,$10.31 per 100mL,$2.06 / 10ML
Air Wick Botanica Island Rose & African Geranium Room Spray 236mL,Botanica,air wick,7.5,7.5,$3.18 per 100mL,$3.18 / 100ML
Air Wick Botanica Non-aerosol Spray Caribbean Vetiver Sandalwood 236mL,Botanica,air wick,7.5,7.5,$3.18 per 100mL,$3.18 / 100ML
Air Wick Botanica Reed Diffuser Vanilla & Himalayan Magnolia 80mL,Botanica,air wick,8.25,16.5,$10.31 per 100mL,$2.06 / 10ML
Alameed Coffee Medium With Cardamom Turkish Coffee 250g,Al ameed,alameed coffee,8.0,8.0,$3.20 per 100G,$3.20 / 100G
Alka-seltzer Lemon-lime Effervescent Tablets 20 pack,Alka Seltzer,alka-seltzer,7.2,8.0,$0.36 per 1Ea,$0.40 / 1EA
Always Discreet Long For Bladder Leaks 10 pack,Always,always discreet,8.0,4.8,$0.80 per 1Ea,$0.48 / 1EA
Always Discreet Long Plus For Bladder Leaks 20 pack,Always,always discreet,6.0,3.6,$0.30 per 1Ea,$0.18 / 1EA
Always Discreet Maxi Night For Bladder Leaks 6 pack,Always,always discreet,8.0,4.8,$1.33 per 1Ea,$0.80 / 1EA
Always Discreet Normal For Bladder Leaks 24 pack,Always,always discreet,6.0,3.6,$0.25 per 1Ea,$0.15 / 1EA
Always Discreet Underwear Large Pants For Bladder Leaks 8 pack,Always,always discreet,20.0,12.0,$2.50 per 1Ea,$1.50 / 1EA
Always Discreet Underwear Medium Pants For Bladder Leaks 9 pack,Always,always discreet,20.0,12.0,$2.22 per 1Ea,$1.33 / 1EA
Always Fresh Kalamata Olives Jalapeno Stuffed 220g,Always Fresh Stuffed,always fresh,5.4,4.5,$2.45 per 100G,$20.45 / 1KG
Arminia Pretzel Cracker 350g,Armonia,arminia,4.0,4.0,$1.14 per 100G,$4.00 / 350G
Aspro Clear Extra Strength Pain Relief Soluble Tablets 16 pack,Aspro Clear,aspro,5.0,5.0,$5.00 per 1Ea,$0.31 / 1EA
Aspro Clear Pain Relief Soluble Tablets 24 pack,Aspro Clear,aspro,5.0,5.0,$5.00 per 1Ea,$0.21 / 1EA
Australia's Own Barista Macadamia Milk 1L,Australias Own,australia's own,3.6,4.5,$3.60 per 1L,$4.50 / 1L
Aveeno Baby Daily Moisturising Lotion 227mL,Aveeno Baby,aveeno,10.0,10.0,$4.41 per 100mL,$4.41 / 100G
Aveeno Baby Wash & Shampoo 236mL,Aveeno Baby,aveeno,10.0,10.0,$4.24 per 100mL,$4.24 / 100ML
Bactive Hand Sanitizer 50mL,Beactive,bactive,3.0,3.0,$6.00 per 100mL,$6.00 / 100ML
Barkers Rich Chocolate Sauce 365g,Barkers Of Nz,barkers,5.0,2.5,$1.37 per 100G,$0.68 / 100G
Baxter's Caramelised Onion Relish 240g,Baxters,baxter's,3.5,4.3,$1.46 per 100G,$1.79 / 100G
Baxter's Chilli Jam 225g,Baxters,baxter's,3.5,4.3,$1.56 per 100G,$1.91 / 100G
Baxter's Classic Tomato Chutney 225g,Baxters,baxter's,3.5,4.3,$1.56 per 100G,$1.91 / 100G
Baxter's Fig & Date Balsamic Chutney 235g,Baxters,baxter's,3.5,4.3,$1.49 per 100G,$1.83 / 100G
Bellamy's Organic Baby Rice With Prebiotic 4+ Months 125g,Bellamy's Organic,bellamy's,4.2,4.2,$3.36 per 100G,$3.36 / 100G
Bellamy's Organic Banana Custard With Flaxseed 6 Months 120g,Bellamy's Organic,bellamy's,2.0,2.3,$1.67 per 100G,$1.92 / 100G
Bellamy's Organic Vanilla & Pear Custard With Chia Seeds 8 Months 120g,Bellamy's Organic,bellamy's,2.0,2.3,$1.67 per 100G,$1.92 / 100G
Bic Gelocity Original Black 2 pack,Gelocity,bic,3.6,4.5,$1.80 per 1Ea,
Bic Gelocity Original Blue 2 pack,Gelocity,bic,3.6,4.5,$1.80 per 1Ea,
Bickford's Diet Lemon Lime & Bitters Cordial 750mL,Bickfords,bickford's,3.2,4.0,$0.43 per 100mL,$5.33 / 1L
Bickford's Diet Lime Cordial 750mL,Bickfords,bickford's,3.2,4.0,$0.43 per 100mL,$5.33 / 1L
Bickford's Raspberry Cordial 750mL,Bickfords,bickford's,3.2,4.0,$4.27 per 1L,$5.33 / 1L
Bio Cheese Shred Pizza 200g,Bio,bio cheese,4.8,8.0,$24.00 per 1Kg,$40.00 / 1KG
Birch & Waite Parsley Dill & Tarragon Seafood Sauce 250mL,Coles,birch & waite,4.2,4.2,$1.68 per 100mL,$1.68 / 100ML
Birds Eye Deli Roast Vegetables 600g,Birds Eye Deli,birds eye,5.0,5.0,$8.33 per 1Kg,$8.33 / 1KG
Blu Gourmet Pearl Couscous 400g,Blu,blu gourmet,5.0,5.0,$1.25 per 100G,$1.25 / 100G
Blue Dinosaur Paleo Bars Lamington 45g,Blue Dinosaur Paleo Bars,blue dinosaur,2.85,3.5,$6.33 per 100G,$7.78 / 100G
Body Science High Protein Low Carb Bar Rocky Road 60g,BSC,body science,4.0,4.0,$6.67 per 100G,$6.67 / 100G
Boost Berry Happy 350mL,Boost Juice,boost,4.0,3.0,$11.43 per 1L,$8.57 / 1L
Bosisto's Floor Cleaner 750mL,Bosistos,bosisto's,4.0,4.0,$0.53 per 100mL,$0.53 / 100ML
Bostik Blu-tack 75g ,Bostik,,2.5,4.0,$2.50 per 1ea,$2.00 / 1EA
Buderim Ginger Bears 175g,Buderim Ginger,buderim,3.95,4.5,$22.57 per 1KG,$25.71 / 1KG
Byron Bay Cookies Milk Choc Chunk Cookie Bites 100g,Byron Bay Cookie,byron bay cookies,2.5,2.5,$2.50 per 100G,$2.50 / 100G
Cadbury Twirl Bites 135g,Cadbury Bitesize,cadbury,4.0,2.5,$2.96 per 100G,$1.85 / 100G
Calbee Harvest Snaps Black Bean Sour Cream & Chives 85g,Calbee Harvest Snaps,calbee,2.5,3.0,$2.94 per 100G,$35.29 / 1KG
Calbee Harvest Snaps Chickpea Crisps Roasted Capsicum 75g,Harvest,calbee,2.5,3.0,$3.33 per 100G,$40.00 / 1KG
Campbell's Country Ladle With Bone Broth Hearty Lentil & Veg 505g,Campbells,campbell's,4.0,3.0,$0.79 per 100G,$0.59 / 100G
Carman's Goodness & Grains Cranberry & Vanilla Flakes 375g,Carmans,carman's,5.6,5.6,$1.49 per 100G,$1.49 / 100G
Carman's Goodness & Grains Sultana & Cinnamon Flakes 375g,Carmans,carman's,5.6,5.6,$1.49 per 100G,$1.49 / 100G
Carman's Porridge Almond Pecan Hazelnut 320g,Carmans,carman's,4.0,6.0,$1.25 per 100G,$1.88 / 100G
Chang's Sesame Oil 150mL,Changs,chang's,3.65,3.65,$2.43 per 100mL,$2.43 / 100ML
Chicken Tonight Pub Favourites Chicken Bbq Wings Cooking Sauce 500g,Chicken Tonight Pub,chicken tonight,2.5,2.5,$0.50 per 100G,$0.50 / 100G
