Brand_Product_Size,IGA Price,WOW Price,IGA Category,WOW Category,WOW Specials,Cheapest Seller
Iceberg Lettuce each,2.5,4.0,Fruit & Veg,Fruit & Veg,,IGA
A2 Full Cream Milk 2L,5.0,5.3,Dairy Eggs & Fridge,Dairy Eggs & Fridge,,IGA
A2 Light Milk 2L,5.0,5.3,Dairy Eggs & Fridge,Dairy Eggs & Fridge,,IGA
Red Capsicum each,1.8,2.67,Fruit & Veg,Fruit & Veg,,IGA
Tip Top English Muffins Wholemeal 6 pack,3.25,5.0,Bakery,Bakery,,IGA
Arnott's Wagon Wheels Mini 190g,2.8,4.0,Pantry,Pantry,,IGA
Arnott's Scotch Finger Chocolate Coated Biscuits 250g,2.8,4.0,Pantry,Pantry,,IGA
Arnott's Tee Vee Snacks Malt Sticks 175g,2.8,4.0,Pantry,Pantry,,IGA
Arnott's Royals Milk Chocolate 200g,2.8,4.0,Pantry,Pantry,,IGA
Arnott's Tee Vee Snacks Original 175g,2.8,4.0,Pantry,Pantry,,IGA
Swisspers Cotton Tips 240 pack,4.15,4.5,Health & Beauty,Health & Beauty,,IGA
Arnott's Chocolate Monte 200g,2.8,4.0,Pantry,Pantry,,IGA
Arnott's Gaiety Chocolate 160g,2.8,4.0,Pantry,Pantry,,IGA
Arnott's Chocolate Caramel Crowns 200g,2.8,4.0,Pantry,Pantry,,IGA
Arnott's Mint Slice 200g,2.8,4.0,Pantry,Pantry,,IGA
Arnott's Tim Tam Chocolate Original 200g,3.65,4.0,Pantry,Pantry,,IGA
Arnott's Tim Tam Chewy Caramel 175g,3.65,4.0,Pantry,Pantry,,IGA
Arnott's Tim Tam Choc Double Coated 200g,3.65,4.0,Pantry,Pantry,,IGA
Arnott's Tim Tam White 165g,3.65,4.0,Pantry,Pantry,,IGA
Arnott's Tim Tam Classic Dark 200g,3.65,4.0,Pantry,Pantry,,IGA
Bega Farmers' Tasty Cheese 250g,5.0,6.0,Dairy Eggs & Fridge,Dairy Eggs & Fridge,,IGA
Rosella Chutney Fruit 250g,2.5,2.55,Pantry,Pantry,,IGA
Gravox Gravy Powder Traditional 200g,3.35,3.4,Pantry,Pantry,,IGA
