Brand_Product_Size,IGA Price,WOW Price,IGA Category,WOW Category,WOW Specials
Helga's Wraps Traditional White 560g 8 pack,5.55,5.0,Bakery,Bakery,
Helga's Wraps Mixed Grain 560g 8 pack,5.55,5.0,Bakery,Bakery,
Tip Top Raisin Toast 520g,4.0,3.2,Bakery,Bakery,Specials
Helga's Bread Traditional Wholemeal 750g,3.9,3.9,Bakery,Bakery,
Helga's Bread Light Rye 680g,3.9,3.9,Bakery,Bakery,
Helga's Bread Traditional White 750g,3.9,3.9,Bakery,Bakery,
Iceberg Lettuce each,2.5,4.0,Fruit & Veg,Fruit & Veg,
A2 Full Cream Milk 2L,5.0,5.3,Dairy Eggs & Fridge,Dairy Eggs & Fridge,
A2 Light Milk 2L,5.0,5.3,Dairy Eggs & Fridge,Dairy Eggs & Fridge,
Capsicum Green each,1.8,1.73,Fruit & Veg,Fruit & Veg,
Red Capsicum each,1.8,2.67,Fruit & Veg,Fruit & Veg,
Helga's Gluten Free Wholemeal Loaf 500g,7.8,7.0,Bakery,Bakery,
Sprite Lemonade Bottle 1.25L,2.6,1.95,Drinks,Drinks,Specials
Darrell Lea Traditional Liquorice Block 180g,5.55,5.0,Pantry,Pantry,
Tip Top English Muffins Wholemeal 6 pack,3.25,5.0,Bakery,Bakery,
Cadbury Crunchie Sharepack 12 pack 180g,5.0,5.0,Pantry,Pantry,
Fanta Orange Bottle 1.25L,2.6,1.95,Drinks,Drinks,Specials
Cadbury Twirl Sharepack 12 pack 168g,5.0,5.0,Pantry,Pantry,
Cadbury Cherry Ripe Sharepack 12 pack 180g,5.0,5.0,Pantry,Pantry,
Cadbury Dairy Milk Chocolate Hazelnut 55g bar,2.2,1.5,Pantry,Pantry,Specials
Cadbury Flake Sharepack 12 pack 168g,5.0,5.0,Pantry,Pantry,
Cadbury Dairy Milk Caramello Koala Sharepack 12 pack,5.0,5.0,Pantry,Pantry,
Maltesers Milk Chocolate Medium Bag 140g,4.5,2.25,Pantry,Pantry,Specials
Cadbury Dairy Milk Chocolate Caramello 55g bar,2.2,1.5,Pantry,Pantry,Specials
Cadbury Fry's Turkish Delight Sharepack 12 pack,5.0,5.0,Pantry,Pantry,
Arnott's Wagon Wheels Mini 190g,2.8,4.0,Pantry,Pantry,
Arnott's Scotch Finger Chocolate Coated Biscuits 250g,2.8,4.0,Pantry,Pantry,
Sara Lee Ice Cream Classic Ultra Chocolate 1L tub,10.0,6.5,Frozen,Frozen,Specials
Arnott's Shapes Savoury 185g,3.2,2.5,Pantry,Pantry,Specials
Arnott's Tee Vee Snacks Malt Sticks 175g,2.8,4.0,Pantry,Pantry,
Sara Lee Ice Cream French Vanilla 1L tub,10.0,6.5,Frozen,Frozen,Specials
Arnott's Royals Milk Chocolate 200g,2.8,4.0,Pantry,Pantry,
Peters Original Vanilla Ice Cream 2L,5.3,4.75,Frozen,Frozen,
Arnott's Tee Vee Snacks Original 175g,2.8,4.0,Pantry,Pantry,
Bega Tasty Cheese Slices 500g,10.0,9.0,Dairy Eggs & Fridge,Dairy Eggs & Fridge,
Nestle Crunch Milk Chocolate 200g bLock,5.0,3.0,Pantry,Pantry,Specials
Cadbury Picnic Sharepack 12 pack 180g,5.0,5.0,Pantry,Pantry,
Bega Tasty Cheese Block Tasty 750g,11.1,10.0,Dairy Eggs & Fridge,Dairy Eggs & Fridge,
Heinz Baked Beans Tomato Sauce 555g,2.5,2.0,Pantry,Pantry,Specials
Peters Original Neapolitan Ice Cream 2L,5.3,4.75,Frozen,Frozen,
Cadbury Baking Milk Chocolate Chips 200g,4.7,3.0,Pantry,Pantry,Specials
Nestle Milo Choc-malt 1kg,15.55,10.0,Drinks,Drinks,Specials
Heinz Baked Beans Bbq Sauce 555g,2.5,2.0,Pantry,Pantry,Specials
Campbell's Real Vegetable Liquid Stock 1L,4.0,3.0,Pantry,Pantry,Specials
Heinz Spaghetti Tomato Sauce 535g,2.5,2.0,Pantry,Pantry,Specials
Campbell's Real Chicken Liquid Stock Salt Reduced 1L,4.0,3.0,Pantry,Pantry,Specials
Campbell's Real Beef Liquid Stock Salt Reduced 1L,4.0,3.0,Pantry,Pantry,Specials
Don Salami Pepperoni 200g,9.2,7.5,Dairy Eggs & Fridge,Meat Seafood & Deli,
Kewpie Japanese Mayonnaise 300g,5.3,3.0,Pantry,Pantry,Specials
Golden Circle Apple Fruit Drink Multipack 6x250mL,4.5,4.5,Drinks,Drinks,
Windex Glass Cleaner Trigger 500mL,4.3,4.3,Household,Household,
Campbell's Real Chicken Liquid Stock 1L,4.0,3.0,Pantry,Pantry,Specials
Golden Circle Juice Golden Pash Drink Multipack 6x250mL,4.5,4.5,Drinks,Drinks,
Mccain Supreme Pizza 500g,7.0,7.0,Frozen,Frozen,
Swisspers Cotton Tips 240 pack,4.15,4.5,Health & Beauty,Health & Beauty,
Golden Circle Orange Drink Multipack 6x250mL,4.5,4.5,Drinks,Drinks,
Mccain Pizza Meatlovers Bbq 500g,7.0,7.0,Frozen,Frozen,
Cadbury Baking Milk Chocolate Melts 225g,4.7,3.0,Pantry,Pantry,Specials
U By Kotex Ultrathin Pads Regular With Wings 14 pack,4.0,3.2,Health & Beauty,Health & Beauty,Specials
U By Kotex Ultrathin Pads Super With Wings 12 pack,4.0,3.2,Health & Beauty,Health & Beauty,Specials
Colgate Advanced Whitening Fluoride Whiter Teeth Toothpaste 110g,4.8,4.8,Health & Beauty,Health & Beauty,
Heinz Baked Beans Salt Reduced 555g,2.5,2.0,Pantry,Pantry,Specials
Impulse Body Spray Aerosol Deodorant Illusions 75mL,4.45,4.0,Health & Beauty,Health & Beauty,
Heinz Baked Beans English Recipe 555g,2.5,2.0,Pantry,Pantry,Specials
Brut Deodorant Aerosol Anti Perspirant Ultra Dry 150g,7.0,6.3,Health & Beauty,Health & Beauty,
Brut Deodorant Aerosol Original 150g,7.0,6.3,Health & Beauty,Health & Beauty,
Heinz Canned Soup Big Red Tomato 420g,2.45,2.2,Pantry,Pantry,
Heinz Canned Soup Big Red Tomato Salt Reduced 420g,2.45,2.2,Pantry,Pantry,
Brut Deodorant Aerosol Anti Perspirant Endurance 150g,7.0,6.3,Health & Beauty,Health & Beauty,
Impulse Women Body Spray Aerosol Deodorant Merely Musk 75mL,4.45,4.0,Health & Beauty,Health & Beauty,
Lipton Ice Tea Lemon 1.5L,4.4,3.95,Drinks,Drinks,
Colgate Advanced Whitening Tartar Control Toothpaste 190g,4.8,3.5,Health & Beauty,Health & Beauty,Specials
Golden Circle Apple & Blackcurrant Fruit Drink Multipack 6x250mL,4.5,4.5,Drinks,Drinks,
Campbell's Real Beef Liquid Stock 1L,4.0,3.0,Pantry,Pantry,Specials
Schweppes Lemon Lime & Bitters 1.1L,2.15,1.25,Drinks,Drinks,Specials
Don Salami Hungarian Hot 200g,9.2,7.5,Dairy Eggs & Fridge,Meat Seafood & Deli,
Birds Eye Fish Fingers 375g,6.2,6.0,Frozen,Frozen,
U By Kotex Mini Tampons 16 pack,4.0,3.4,Health & Beauty,Health & Beauty,Specials
Arnott's Chocolate Monte 200g,2.8,4.0,Pantry,Pantry,
Harvest Beef Braised Steak & Onion 425g,4.45,4.0,Pantry,Pantry,
