SKU,Brand_Product_Size,Brand,Product Name,COL Price,COL ppu,COL Size,COL Specials,COL Category,Product URL
3652686P,Oppenheimer Tinny Taffy 50 Pack 575g,Oppenheimer,Tinny Taffy 50 Pack,17.0,$2.96 per 100G,575g,,International Foods,https://shop.coles.com.au/a/national/product/oppenheimer-tinny-taffy-50-pack
2504821P,Alicos Organic Sicilian Cherry Tomato Puree Passata 660g,Alicos,Organic Sicilian Cherry Tomato Puree Passata,5.0,$0.76 per 100G,660g,,International Foods,https://shop.coles.com.au/a/national/product/alicos--organic-cherry-tomato-puree-pasata
3653077P,Leiber's Mr Chip Premium Cookie 310g,Leiber's,Mr Chip Premium Cookie,7.5,$2.42 per 100G,310g,,International Foods,https://shop.coles.com.au/a/national/product/leibers-mr-chip-premium-cookie
1384327P,Jinmailang Long XU Noodle 1kg,Jinmailang,Long XU Noodle,2.5,$2.50 per 1Kg,1kg,,International Foods,https://shop.coles.com.au/a/national/product/jinmailing-noodle-long
6994187P,Gaganis Premium Continental Style Soup Mix 1kg,Gaganis,Premium Continental Style Soup Mix,4.8,$4.80 per 1Kg,1kg,Specials,International Foods,https://shop.coles.com.au/a/national/product/gaganis-mixed-soup-continental
9880322P,Royal Fields Pearl Barley 1kg,Royal Fields,Pearl Barley,3.0,$3.00 per 1Kg,1kg,,International Foods,https://shop.coles.com.au/a/national/product/royal-fields-barley-pearl
7368582P,Mission Extreme Cheese Tortilla Triangles Corn Chips 230g,Mission,Extreme Cheese Tortilla Triangles Corn Chips,3.1,$1.35 per 100G,230g,,International Foods,https://shop.coles.com.au/a/national/product/mission-corn-chips-extreme-cheese
2107480P,Ayam Thai Sweet Chilli Sauce Light 285mL,Ayam,Thai Sweet Chilli Sauce Light,2.3,$0.81 per 100mL,285mL,,International Foods,https://shop.coles.com.au/a/national/product/ayam-light-sweet-chilli-sauce
9316422P,Nissin Tom Yam Seafood Flavour Instant Cup Noodles 75g,Nissin,Tom Yam Seafood Flavour Instant Cup Noodles,2.1,$2.80 per 100G,75g,,International Foods,https://shop.coles.com.au/a/national/product/nissin-noodle-cup-tom-yum-seafood
2057552P,Haldiram's Khatta Meetha Snacks 150g,Haldiram's,Khatta Meetha Snacks,1.6,$1.07 per 100G,150g,Specials,International Foods,https://shop.coles.com.au/a/national/product/haldirams-khattameetha
8591013P,Siena Sugo Presto Al Basilico Pasta Sauce 680g,Siena,Sugo Presto Al Basilico Pasta Sauce,2.8,$0.41 per 100G,680g,,International Foods,https://shop.coles.com.au/a/national/product/siena-sugo-pesto-sauce-pasta-with-basil
3902943P,Coles Organic Coconut Milk 400mL,Coles,Organic Coconut Milk,2.35,$0.59 per 100mL,400mL,,International Foods,https://shop.coles.com.au/a/national/product/organic-coconut-milk
2494218P,Glico Pocky Chocolate Biscuit Sticks 47g,Glico Pocky,Chocolate Biscuit Sticks,1.8,$3.83 per 100G,47g,,International Foods,https://shop.coles.com.au/a/national/product/pocky-chocolate-biscuit-sticks
3652540P,Shneider's Yo Round Crackers 350g,Shneider's,Yo Round Crackers,5.4,$1.54 per 100G,350g,,International Foods,https://shop.coles.com.au/a/national/product/shneiders-yo-round-crackers
9919905P,Valcom Rice Paper 250g,Valcom,Rice Paper,2.45,$0.98 per 100G,250g,,International Foods,https://shop.coles.com.au/a/national/product/valcom-rice-paper-22cm
3557459P,Louisiana Jamalaya Rice Mix 212g,Louisiana,Jamalaya Rice Mix,7.0,$3.30 per 100G,212g,,International Foods,https://shop.coles.com.au/a/national/product/louisiana-jamalaya-rice-mix
6823413P,Valcom Green Curry Paste 210g,Valcom,Green Curry Paste,3.2,$1.52 per 100G,210g,Specials,International Foods,https://shop.coles.com.au/a/national/product/valcom-paste-paste-green-curry
3151910P,Huy Fong Foods Inc. Chili Garlic Sauce 226g,Huy Fong Foods Inc.,Chili Garlic Sauce,5.2,$2.30 per 100G,226g,,International Foods,https://shop.coles.com.au/a/national/product/huy-fong-chili-garlic-sauce
1334533P,Five Tastes Thai Green Curry Paste 210g,Five Tastes,Thai Green Curry Paste,3.0,$1.43 per 100G,210g,Specials,International Foods,https://shop.coles.com.au/a/national/product/five-tastes-paste-thai-green-curry
7475811P,Simba Cheesey Nik Naks 135g,Simba,Cheesey Nik Naks,2.9,$2.15 per 100G,135g,,International Foods,https://shop.coles.com.au/a/national/product/simba-nik-naks-cheese-7475811p
5856010P,Lee Kum Kee Sweet & Sour Sauce 240g,Lee Kum Kee,Sweet & Sour Sauce,4.15,$1.73 per 100G,240g,,International Foods,https://shop.coles.com.au/a/national/product/lee-kum-kee-sauce-sweet-sour
3735615P,Coles Asia Sesame Oil 370mL,Coles,Asia Sesame Oil,6.0,$1.62 per 100mL,370mL,,International Foods,https://shop.coles.com.au/a/national/product/coles-asia-sesame-oil
3709998P,Nyakers Ginger Snaps Original 150g,Nyakers,Ginger Snaps Original,3.5,$2.33 per 100G,150g,,International Foods,https://shop.coles.com.au/a/national/product/nyakers-ginger-snaps-original
3083434P,Gaganis Premium Green Brown Lentils 1kg,Gaganis,Premium Green Brown Lentils,4.75,$4.75 per 1Kg,1kg,,International Foods,https://shop.coles.com.au/a/national/product/gaganis-green-brown-lentils
5417199P,Batchelors Original Mushy Peas 300g,Batchelors,Original Mushy Peas,2.0,$6.67 per 1Kg,300g,Specials,International Foods,https://shop.coles.com.au/a/national/product/batchelors-peas-mushy-original
3561321P,L&P Soft Drink Can 440mL,L&P,Soft Drink Can,2.4,$0.55 per 100mL,440mL,,International Foods,https://shop.coles.com.au/a/national/product/l-p-soft-drink-can
3479480P,Coles Creamy Jalapeno Topping Medium 240g,Coles,Creamy Jalapeno Topping Medium,3.6,$1.50 per 100G,240g,,International Foods,https://shop.coles.com.au/a/national/product/coles-creamy-jalapeno-topping
1277484P,Mission Chilli & Lime Tortilla Triangles Corn Chips 230g,Mission,Chilli & Lime Tortilla Triangles Corn Chips,3.1,$1.35 per 100G,230g,,International Foods,https://shop.coles.com.au/a/national/product/mission-corn-chips-chilli-lime
1656110P,Maynards Bassetts Wine Gums 190g,Maynards,Bassetts Wine Gums,5.2,$2.74 per 100G,190g,,International Foods,https://shop.coles.com.au/a/national/product/maynards-wine-gums-bag
3479027P,Coles Fold & Roll Tortilla Wraps 6 Pack 545g,Coles,Fold & Roll Tortilla Wraps 6 Pack,4.0,$0.73 per 100G,545g,,International Foods,https://shop.coles.com.au/a/national/product/coles-fold-roll-tortilla-wraps-6-pack
2017412P,Obento Ramen Noodles 150g,Obento,Ramen Noodles,1.4,$0.93 per 100G,150g,,International Foods,https://shop.coles.com.au/a/national/product/obento-ramen-noodles
3083376P,Siena Stuffed Green Olives 440g,Siena,Stuffed Green Olives,2.3,$5.23 per 1Kg,440g,,International Foods,https://shop.coles.com.au/a/national/product/siena-stuffed-green-olives
1133167P,Eti Sesame Sticks Crackers 110g,Eti,Sesame Sticks Crackers,2.4,$2.18 per 100G,110g,,International Foods,https://shop.coles.com.au/a/national/product/eti-sesame-sticks
2344601P,Mr Fishi Matje Herring Fillets 250g,Mr Fishi,Matje Herring Fillets,5.0,$20.00 per 1Kg,250g,,International Foods,https://shop.coles.com.au/a/national/product/mr-fish-herring-fillets-2344601p
7428607P,Griffins Krispie delicious toasted Coconut Biscuit 250g,Griffins,Krispie delicious toasted Coconut Biscuit,3.5,$1.40 per 100G,250g,,International Foods,https://shop.coles.com.au/a/national/product/griffins-biscuits-krispie
3474282P,Coles Indian Naan Garlic 3 Pack 250g,Coles,Indian Naan Garlic 3 Pack,2.7,$1.08 per 100G,250g,Specials,International Foods,https://shop.coles.com.au/a/national/product/coles-indian-naan-garlic-herb-2-pack
7398856P,Gaganis Mung Beans 1kg,Gaganis,Mung Beans,4.5,$4.50 per 1Kg,1kg,,International Foods,https://shop.coles.com.au/a/national/product/gaganis-beans-mung
9435079P,Valcom Kaffir Lime Leaves 100g,Valcom,Kaffir Lime Leaves,2.85,$28.50 per 1Kg,100g,,International Foods,https://shop.coles.com.au/a/national/product/valcom-lime-leaves-kaffir
3656348P,Haddar Soy Sauce 296mL,Haddar,Soy Sauce,5.8,$1.96 per 100mL,296mL,,International Foods,https://shop.coles.com.au/a/national/product/haddar-soy-sauce
4565510P,Old El Paso Stand 'N Stuff Taco Kit Mild 295g,Old El Paso,Stand 'N Stuff Taco Kit Mild,5.0,$1.69 per 100G,295g,Specials,International Foods,https://shop.coles.com.au/a/national/product/old-el-paso-taco-kit-stand-n-stuff-mild
7978186P,Maharajah's Choice Semolina Coarse 1kg,Maharajah's Choice,Semolina Coarse,2.0,$2.00 per 1Kg,1kg,,International Foods,https://shop.coles.com.au/a/national/product/pulse-mc--semolina-course
3339196P,Pattu Coriander Seeds 200g,Pattu,Coriander Seeds,2.2,$1.10 per 100G,200g,,International Foods,https://shop.coles.com.au/a/national/product/pattu-coriander-seed
321401P,Eskal Pickled Herring Fillets 375g,Eskal,Pickled Herring Fillets,6.8,$18.13 per 1Kg,375g,,International Foods,https://shop.coles.com.au/a/national/product/eskal-herring-fillets-pickled
1383630P,Nissin Sesame Oil Flavour Instant Noodles 110g,Nissin,Sesame Oil Flavour Instant Noodles,1.95,$1.77 per 100G,110g,,International Foods,https://shop.coles.com.au/a/national/product/nissin-noodle-bowl
3462534P,Perugina Dark Chocolate 86g,Perugina,Dark Chocolate,4.4,$0.51 per 10G,86g,,International Foods,https://shop.coles.com.au/a/national/product/perugina-85-dark-chocolate
1132980P,Tamek Tomato Paste Jar 720g,Tamek,Tomato Paste Jar,3.0,$0.43 per 100G,720g,,International Foods,https://shop.coles.com.au/a/national/product/tamek-tomato-paste-jar
2724963P,Walkers Highland Oatcakes Biscuits 4 pack 280g,Walkers,Highland Oatcakes Biscuits 4 pack,5.5,$1.96 per 100G,280g,,International Foods,https://shop.coles.com.au/a/national/product/walkers-biscuits-oatcakes-highland
38943P,Old El Paso Thick 'N Chunky Salsa Medium 375g,Old El Paso,Thick 'N Chunky Salsa Medium,3.5,$0.93 per 100G,375g,Specials,International Foods,https://shop.coles.com.au/a/national/product/old-el-paso-thick-chunky-salsa-medium
9880413P,Royal Fields Black Eye Beans 1kg,Royal Fields,Black Eye Beans,6.5,$6.50 per 1Kg,1kg,,International Foods,https://shop.coles.com.au/a/national/product/royal-fields-beans-black-eye
351683P,Sniders Coarse Matzo Meal 375g,Sniders,Coarse Matzo Meal,6.5,$1.73 per 100G,375g,,International Foods,https://shop.coles.com.au/a/national/product/sniders-matzo-meal-caramel-coarse
5487467P,Double Phoenix Red Prawn Crackers 200g,Double Phoenix,Red Prawn Crackers,1.65,$0.83 per 100G,200g,,International Foods,https://shop.coles.com.au/a/national/product/double-phoenix-crackers-red-prawn
9887037P,Royal Fields Chilli Corn Nuts 500g,Royal Fields,Chilli Corn Nuts,7.0,$14.00 per 1Kg,500g,,International Foods,https://shop.coles.com.au/a/national/product/corn-nuts-chilli
3828658P,Sera Pepper Paste Hot 720g,Sera,Pepper Paste Hot,9.0,$1.25 per 100G,720g,,International Foods,https://shop.coles.com.au/a/national/product/sera-pepper-paste-hot
3740127P,Shinho Soybean Paste 400g,Shinho,Soybean Paste,1.75,$0.44 per 100G,400g,,International Foods,https://shop.coles.com.au/a/national/product/shinho-soybean-paste
3739809P,Pandaroo Sweet Condensed Coconut Milk 320g,Pandaroo,Sweet Condensed Coconut Milk,5.0,$1.56 per 100G,320g,,International Foods,https://shop.coles.com.au/a/national/product/pandaro-swet-condensed-coconut-milk
3453318P,Jelly B Drinkable Konjac Jelly  Watermelon Flavour 150mL,Jelly B,Drinkable Konjac Jelly  Watermelon Flavour,2.7,$1.80 per 100mL,150mL,Specials,International Foods,https://shop.coles.com.au/a/national/product/jelly-b-konjac-jelly-watermelon-3453318p
5400447P,Kras Napolitanke Hazelnut Wafers 330g,Kras,Napolitanke Hazelnut Wafers,3.9,$1.18 per 100G,330g,Specials,International Foods,https://shop.coles.com.au/a/national/product/kras-napolitanke-wafers-hazelnut
7880730P,Zahra Pickled Cucumber 1.4kg,Zahra,Pickled Cucumber,6.5,$4.64 per 1Kg,1.4kg,,International Foods,https://shop.coles.com.au/a/national/product/durra-cucumber-pickled
9115056P,Damia Assorted Soft Fruit Lollies 1kg,Damia,Assorted Soft Fruit Lollies,6.4,$6.40 per 1Kg,1kg,Specials,International Foods,https://shop.coles.com.au/a/national/product/damla-assorted-soft-fruit-lollies
7774437P,Garden Fresh Dill Gherkins Pickle 670g,Garden Fresh,Dill Gherkins Pickle,3.0,$0.45 per 100G,670g,,International Foods,https://shop.coles.com.au/a/national/product/garden-fresh-gherkins-dill-7774437p
2001707P,Ayam San Choy Bao Sauce 210mL,Ayam,San Choy Bao Sauce,3.5,$1.67 per 100mL,210mL,,International Foods,https://shop.coles.com.au/a/national/product/ayam-san-choy-bao-sauce
3557415P,Bell's Blazin Buffalo Wing Seasoning 45g,Bell's,Blazin Buffalo Wing Seasoning,5.0,$11.11 per 100G,45g,,International Foods,https://shop.coles.com.au/a/national/product/bells-wing-seasoning-blazin-buffalo
3403331P,Walters Original Nougat Biscuit 150g,Walters,Original Nougat Biscuit,5.0,$3.33 per 100G,150g,,International Foods,https://shop.coles.com.au/a/national/product/walters-nougat-biscuit-original
3736764P,Doldori Roasted Seaweed Snack Honey Butter 30g,Doldori,Roasted Seaweed Snack Honey Butter,3.35,$11.17 per 100G,30g,,International Foods,https://shop.coles.com.au/a/national/product/doldori-roasted-seawed-snack-honey-butter
7201995P,Protea Foods Lekker Peri Peri Biltong Stokkies 100g,Protea Foods,Lekker Peri Peri Biltong Stokkies,11.8,$11.80 per 100G,100g,,International Foods,https://shop.coles.com.au/a/national/product/lekker-biltong-stokkies-peri
