SKU,Brand_Product_Size,Brand,Product Name,COL Price,COL ppu,COL Size,COL Specials,COL Category,Product URL
4219575P,Fable Plant Based Mealsrogan Josh 350g,Fable,Plant Based Mealsrogan Josh,9.95,$2.84 per 100G,350g,,Convenience Meals,https://shop.coles.com.au/a/national/product/meal-rogan-josh
3905089P,Coles Kitchen Balanced Thai Green Chicken Curry With Rice 320g,Coles,Kitchen Balanced Thai Green Chicken Curry With Rice,7.5,$2.34 per 100G,320g,,Convenience Meals,https://shop.coles.com.au/a/national/product/coles-kitchen-thai-gren-chicken-curry
3903334P,Coles Kitchen Balanced Butter Chicken With Grains 320g,Coles,Kitchen Balanced Butter Chicken With Grains,7.5,$2.34 per 100G,320g,,Convenience Meals,https://shop.coles.com.au/a/national/product/coles-kitchen-butter-chicken-w-grain
3904519P,Coles Kitchen Pesto Arancini 240g,Coles,Kitchen Pesto Arancini,6.0,$2.50 per 100G,240g,,Convenience Meals,https://shop.coles.com.au/a/national/product/coles-kitchen-arancini-pesto-chese
4212420P,Pitango Coconut Free Range Chicken Curry 350g,Pitango,Coconut Free Range Chicken Curry,9.95,$2.84 per 100G,350g,,Convenience Meals,https://shop.coles.com.au/a/national/product/coconut-fr-chicken-curry
3610846P,Fitness Outcomes Portuguese Chicken 350g,Fitness Outcomes,Portuguese Chicken,9.95,$2.84 per 100G,350g,,Convenience Meals,https://shop.coles.com.au/a/national/product/fitness-outcomes-portuguese-chicken
3902921P,Coles Kitchen Balanced Peri Peri Chicken With Sweet Potato Mash 350g,Coles,Kitchen Balanced Peri Peri Chicken With Sweet Potato Mash,7.5,$2.14 per 100G,350g,,Convenience Meals,https://shop.coles.com.au/a/national/product/peri-peri-chicken-mash
4205898P,Fitness Outcomes Sriracha Chicken With Basmati Rice & Broccoli 350g,Fitness Outcomes,Sriracha Chicken With Basmati Rice & Broccoli,9.95,$2.84 per 100G,350g,,Convenience Meals,https://shop.coles.com.au/a/national/product/chicken-fr-w-basmti-rce
4219564P,Fable Plant Based Mealshungarian Goulash 350g,Fable,Plant Based Mealshungarian Goulash,9.95,$2.84 per 100G,350g,,Convenience Meals,https://shop.coles.com.au/a/national/product/meal-hungarian-goulash
4204782P,Youfoodz Karaage Chicken Poke Bowl 322g,Youfoodz,Karaage Chicken Poke Bowl,9.95,$3.09 per 100G,322g,,Convenience Meals,https://shop.coles.com.au/a/national/product/karage-chicken-poke-bwl
3904494P,Coles Kitchen Mac & Cheese Balls 240g,Coles,Kitchen Mac & Cheese Balls,6.0,$2.50 per 100G,240g,,Convenience Meals,https://shop.coles.com.au/a/national/product/coles-kitchen-mac-chese-balls
4212408P,Pitango Organic Roasted Tumeric Cauliflower & Pumpkin 350g,Pitango,Organic Roasted Tumeric Cauliflower & Pumpkin,9.95,$2.84 per 100G,350g,,Convenience Meals,https://shop.coles.com.au/a/national/product/tumeric-cauli-pumpkin
4204895P,Youfoodz Mexi Burrito Power Bowl 306g,Youfoodz,Mexi Burrito Power Bowl,9.95,$3.25 per 100G,306g,,Convenience Meals,https://shop.coles.com.au/a/national/product/mexi-burrito
3905056P,Coles Kitchen Balanced Chicken & Chorizo Paella 320g,Coles,Kitchen Balanced Chicken & Chorizo Paella,7.5,$2.34 per 100G,320g,,Convenience Meals,https://shop.coles.com.au/a/national/product/chicken-chorizo-paella
3903709P,Coles Kitchen Arancini Pumpkin 240g,Coles,Kitchen Arancini Pumpkin,6.0,$2.50 per 100G,240g,,Convenience Meals,https://shop.coles.com.au/a/national/product/coles-kitchen-arancini-pumpkin
3769480P,Youfoodz Slow Cooked BBQ Beef Mash 320g,Youfoodz,Slow Cooked BBQ Beef Mash,9.95,$3.11 per 100G,320g,,Convenience Meals,https://shop.coles.com.au/a/national/product/youfodz-slow-coked-bbq-bef-mash
4204830P,Youfoodz Chilli Con Carne Mexi Rice 340g,Youfoodz,Chilli Con Carne Mexi Rice,9.95,$2.93 per 100G,340g,,Convenience Meals,https://shop.coles.com.au/a/national/product/chilli-con-carne-mex-rice
4204873P,Youfoodz Large Bbq Meatballs & Potato Salad 400g,Youfoodz,Large Bbq Meatballs & Potato Salad,10.95,$2.74 per 100G,400g,,Convenience Meals,https://shop.coles.com.au/a/national/product/meatballs-w-potato-salad
